run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s10_l2a_OfForestAndMen,0,1.015814,1336.0,1556678.0,120.0,1.0,0.049,0.076,12.158,1.013875,1.024299,126982.623552,14249.744006,12972.316667,12006960.319048,3465.106105,0.267115,0.219839,-0.478507,4552.0,21216.0,11.133333,8.133333,2.8519,0.256159,-0.150408,-0.624095,4.0,18.0,1336.0,1556678.0,120.0,1.0,0.049,0.076,12.158,1.013875,1.024299,126982.623552,14249.744006,12972.316667,12006960.319048,3465.106105,0.267115,0.219839,-0.478507,4552.0,21216.0,11.133333,8.133333,2.8519,0.256159,-0.150408,-0.624095,4.0,18.0,1336.0,1556678.0,120.0,1.0,0.049,0.076,12.158,1.013875,1.024299,126982.623552,14249.744006,12972.316667,12006960.319048,3465.106105,0.267115,0.219839,-0.478507,4552.0,21216.0,11.133333,8.133333,2.8519,0.256159,-0.150408,-0.624095,4.0,18.0,0
CONT_s10_l2a_OfForestAndMen,1,1.578098,1662.0,1987246.0,98.0,1.0,0.027,0.055,9.918,1.589797,1.602941,209360.247225,-208366.22817,20278.020408,5024815833.628444,70885.935372,3.495703,9.716161,92.609993,3052.0,714127.0,16.959184,3499.874606,59.159738,3.48836,9.714638,92.590684,3.0,596.0,2998.0,3543924.0,218.0,1.0,0.049,0.055,22.179,1.272333,1.278299,146839.181855,-122450.80062,16256.53211,2265968593.300807,47602.191056,2.928189,14.552695,210.859717,3052.0,714127.0,13.752294,1577.357714,39.715963,2.887952,14.552064,210.849522,3.0,596.0,2998.0,3543924.0,218.0,1.0,0.049,0.055,22.179,1.272333,1.278299,146839.181855,-122450.80062,16256.53211,2265968593.300807,47602.191056,2.928189,14.552695,210.859717,3052.0,714127.0,13.752294,1577.357714,39.715963,2.887952,14.552064,210.849522,3.0,596.0,1
CONT_s10_l2a_OfForestAndMen,2,1.080405,1225.0,1354717.0,98.0,1.0,0.048,0.024,9.928,1.083774,1.091633,134953.103804,13782.973725,13823.642857,1810464.108247,1345.534878,0.097336,0.731703,2.400211,10656.0,18208.0,12.5,1.778351,1.333548,0.106684,1.074891,1.400428,10.0,17.0,4223.0,4898641.0,316.0,1.0,0.049,0.024,32.21,1.213925,1.216676,160362.787725,-231813.054683,15502.028481,1562828462.688076,39532.625295,2.550158,17.547488,307.613329,3052.0,714127.0,13.363924,1087.508409,32.977392,2.467643,17.534206,307.306318,3.0,596.0,4223.0,4898641.0,316.0,1.0,0.049,0.024,32.21,1.213925,1.216676,160362.787725,-231813.054683,15502.028481,1562828462.688076,39532.625295,2.550158,17.547488,307.613329,3052.0,714127.0,13.363924,1087.508409,32.977392,2.467643,17.534206,307.306318,3.0,596.0,2
CONT_s10_l2a_OfForestAndMen,3,1.074648,1144.0,1337307.0,97.0,1.0,0.079,0.068,9.853,1.069846,1.085807,134401.864414,12155.753506,13786.670103,10253872.744201,3202.166883,0.232265,-0.009011,0.302266,7552.0,21248.0,11.793814,7.561211,2.749766,0.233153,-0.124972,0.568536,6.0,19.0,4031.0,4679270.0,293.0,1.0,0.027,0.068,29.905,1.247805,1.251769,159281.678085,120862.438487,15970.204778,1682533465.451075,41018.696535,2.568452,16.913992,285.394306,3052.0,714127.0,13.757679,1170.958203,34.219267,2.487285,16.897641,285.027933,3.0,596.0,5367.0,6235948.0,413.0,1.0,0.049,0.068,42.166,1.17985,1.183123,155760.028548,-174104.801049,15099.1477,1197800292.150463,34609.25154,2.292133,20.022062,401.916105,3052.0,714127.0,12.995157,833.674734,28.873426,2.22186,20.003979,401.437496,3.0,596.0,3
CONT_s10_l2a_OfForestAndMen,4,1.072777,1118.0,1336938.0,97.0,1.0,0.034,0.098,9.868,1.06955,1.083857,134017.088773,14145.127704,13782.865979,7887816.075601,2808.525605,0.203769,-0.630742,0.595793,7552.0,21156.0,11.525773,5.397766,2.323309,0.201575,-0.796907,1.358556,6.0,17.0,3487.0,4028962.0,292.0,1.0,0.048,0.098,29.854,1.07439,1.079644,134479.825432,16606.849001,13797.815068,6588715.615167,2566.849356,0.186033,-0.253199,1.451749,7552.0,21248.0,11.941781,5.037836,2.244512,0.187955,-0.495273,1.89636,6.0,19.0,6485.0,7572886.0,510.0,1.0,0.049,0.098,52.136,1.158753,1.16202,150885.358153,-97931.023197,14848.796078,971290860.406272,31165.53963,2.09886,22.212979,495.926229,3052.0,714127.0,12.715686,676.152799,26.002938,2.04495,22.194611,495.386813,3.0,596.0,4
CONT_s10_l2a_OfForestAndMen,5,1.763762,1780.0,2221641.0,98.0,1.0,0.006,0.026,9.968,1.777313,1.783018,161494.977471,-74385.039224,22669.806122,4026558903.065116,63455.17239,2.799105,6.89337,46.227417,7552.0,506398.0,18.163265,2639.68441,51.377859,2.828669,6.935378,46.978715,6.0,415.0,4042.0,4895886.0,292.0,1.0,0.079,0.026,29.895,1.30557,1.310155,137396.990614,-17855.119764,16766.732877,1365834437.88029,36957.197376,2.204198,12.062861,146.212407,7552.0,506398.0,13.842466,893.645201,29.893899,2.159579,12.123494,148.266883,6.0,415.0,8265.0,9794527.0,608.0,1.0,0.049,0.026,62.208,1.258067,1.259584,147894.271325,-42570.969631,16109.419408,1466213391.897942,38291.165977,2.376943,15.204769,241.541996,3052.0,714127.0,13.59375,992.834689,31.509279,2.317924,15.380012,248.413499,3.0,596.0,5
CONT_s10_l2a_OfForestAndMen,6,0.84999,1096.0,1301407.0,119.0,1.0,0.076,0.037,12.146,0.849274,0.857176,105946.400564,12403.731337,10936.193277,11731827.648768,3425.175565,0.313196,0.147223,-1.238259,3052.0,18104.0,9.210084,9.319897,3.052851,0.331468,0.720494,1.701707,3.0,23.0,3994.0,4859986.0,314.0,1.0,0.034,0.037,32.188,1.205242,1.2079,163764.671729,-183685.444312,15477.66242,1279616688.281842,35771.730295,2.311184,12.471681,156.80372,3052.0,506398.0,12.719745,837.620887,28.941681,2.275335,12.533493,158.977626,3.0,415.0,9361.0,11095934.0,727.0,1.0,0.049,0.037,74.456,1.190838,1.192214,151894.738691,-129133.456761,15262.632737,1231459092.086695,35092.151431,2.29922,16.584766,288.361602,3052.0,714127.0,12.876204,834.246361,28.883323,2.243155,16.765938,296.302143,3.0,596.0,6
CONT_s10_l2a_OfForestAndMen,7,0.848751,1036.0,1128862.0,103.0,1.0,0.066,0.078,10.537,0.84551,0.857065,106120.214083,10398.782927,10959.825243,3297759.086808,1815.973317,0.165694,-0.203081,0.662638,6052.0,15208.0,10.058252,2.486769,1.576949,0.156782,-0.216928,1.119058,5.0,14.0,3912.0,4651910.0,320.0,1.0,0.006,0.078,32.856,1.12979,1.132678,144941.026648,232733.195586,14537.21875,1259059081.13695,35483.22253,2.440854,12.616711,160.285952,3052.0,506398.0,12.225,822.645141,28.681791,2.346159,12.6864,162.635212,3.0,415.0,10397.0,12224796.0,830.0,1.0,0.049,0.078,85.096,1.147558,1.149271,149269.881749,-58723.797725,14728.66988,1080875733.915015,32876.674618,2.232155,17.709546,329.302647,3052.0,714127.0,12.526506,731.764677,27.051149,2.159513,17.909872,338.540455,3.0,596.0,7
CONT_s10_l2a_OfForestAndMen,8,0.843447,889.0,1057010.0,97.0,1.0,0.026,0.052,9.922,0.845608,0.852256,105549.372537,9772.872644,10897.010309,8354414.760309,2890.40045,0.265247,0.340797,-0.452197,6052.0,18104.0,9.164948,5.826675,2.413851,0.263379,0.104797,-0.914897,5.0,14.0,3021.0,3487279.0,319.0,1.0,0.076,0.052,32.812,0.846941,0.850245,105972.883259,12971.542525,10931.909091,7933809.743282,2816.701927,0.257659,0.185988,-0.534971,3052.0,18104.0,9.470219,6.180714,2.486104,0.262518,0.318985,1.583177,3.0,23.0,11286.0,13281806.0,927.0,1.0,0.049,0.052,95.122,1.115849,1.117033,145425.050977,56610.529816,14327.730313,969895363.166931,31143.143116,2.173627,18.689053,367.385365,3052.0,714127.0,12.174757,656.775042,25.627623,2.10498,18.896232,377.56208,3.0,596.0,8
CONT_s10_l2a_OfForestAndMen,9,1.37079,1426.0,1717366.0,97.0,1.0,0.052,0.026,9.922,1.373893,1.384693,200295.228206,-216749.661615,17704.804124,4198097023.59665,64792.723539,3.659613,8.926715,80.832439,52.0,629284.0,14.701031,2834.982603,53.244555,3.621825,8.915018,80.657292,1.0,517.0,3351.0,3903238.0,297.0,1.0,0.066,0.026,30.589,1.01776,1.020821,119378.617082,-117620.427292,13142.215488,1375522035.000706,37088.030886,2.822053,15.748568,256.165534,52.0,629284.0,11.282828,928.021089,30.463439,2.699982,15.717997,255.430736,1.0,517.0,12712.0,14999172.0,1024.0,1.0,0.049,0.026,105.148,1.140372,1.141186,142691.864133,146195.28991,14647.628906,1272865961.168118,35677.247107,2.435701,16.306747,277.737175,52.0,714127.0,12.414063,861.087427,29.344291,2.363794,16.422859,282.871963,1.0,596.0,9
